UNIQUE_ID,NHS_NO,DOB,DOD,FAMILY_NAME,GIVEN_NAME,OTHER_GIVEN_NAME,TITLE,GENDER,ADDR1,ADDR2,ADDR3,ADDR4,ADDR5,POST_CODE,SENSITIVE_FLAG,GPP,SCENARIO
1,9730015198,15/07/1986,,HOPLEY,Flora,Gwen,MRS,Female,,1 WARES WAY,GUNNESS,SCUNTHORPE,S HUMBERSIDE,DN15 8DU,,A20047,ScenarioOne_MotherOver18withUCPP
2,9730015201,11/01/2005,,VALE,Zoe,,Mrs,Female,NEW HOUSE,HOOK ROAD,AMCOTTS,SCUNTHORPE,S HUMBERSIDE,DN17 4AZ,,A20047,ScenarioTwo_MotherEquals18
3,9730015228,03/08/2010,,VALE,Mary,Connie,Miss,Female,NEW HOUSE,HOOK ROAD,AMCOTTS,SCUNTHORPE,S HUMBERSIDE,DN17 4AZ,,A20047,ScenarioTwo_ChildOnewithCPP
4,9730015236,31/07/2022,,VALE,Bert,,Mr,Male,NEW HOUSE,HOOK ROAD,AMCOTTS,SCUNTHORPE,S HUMBERSIDE,DN17 4AZ,,A20047,ScenarioTwo_ChildTwoNoCPP
5,9730015244,09/10/2023,,VALE,Lloyd,Alec,Mr,Male,NEW HOUSE,HOOK ROAD,AMCOTTS,SCUNTHORPE,S HUMBERSIDE,DN17 4AZ,,A20047,ScenarioTwo_ChildThreeNoCPP
6,9730015252,09/04/1999,,CANNON,Bob,Dwayne,Mr,Male,,1 WUDATON COURT,WOOTTON,ULCEBY,S HUMBERSIDE,DN39 6SQ,,A20047,ScenarioThree_FosterFatherOver18
7,9730015260,29/09/2013,,CANNON,Ramona,Hattie,Miss,Female,,1 WUDATON COURT,WOOTTON,ULCEBY,S HUMBERSIDE,DN39 6SQ,,A20047,ScenarioThree_LAC
8,9730015279,14/12/2005,,LEE,Rhoda,Lizzie,Mr,Female,,1 ST. JOANS DRIVE,SCAWBY,BRIGG,S HUMBERSIDE,DN20 9BE,,A20047,ScenarioFour_FatherUnder18
9,9730015287,02/10/2023,,LEE,Roland,,Mr,Male,,1 ST. JOANS DRIVE,SCAWBY,BRIGG,S HUMBERSIDE,DN20 9BE,,A20047,ScenarioFour_LAC
10,9730015295,13/11/2010,,PEENEY,Olive,Anne,MISS,Female,,2 STATION ROAD,BURRINGHAM,SCUNTHORPE,S HUMBERSIDE,DN17 3LU,,A20047,ScenarioFive_FemaleChildCPP_LAC_UCPP
11,9730015309,08/12/2009,,ROGERS,Megan,,MISS,Female,,2 FAIRFIELD CLOSE,BROUGHTON,BRIGG,S HUMBERSIDE,DN20 0TT,,A20047,ScenarioSix_FemaleChildCPP_UCPP
